enzyme,color,Protein accession number,Environment group,Exact sampling location,lat,lon
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_417359899.1,Surface seawater●,China: Qingdao | depth: 1,36.04,120.26
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_417358013.1,Surface seawater●,China: Qingdao | depth: 1,36.04,120.26
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_475647339.1,Surface seawater●,Pacific Ocean | Pacific Ocean:Subarctic Pacific Ocean,-16.21,-76.63
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_273024228.1,Surface seawater●,Atlantic Ocean | depth: 100 m,40.0,-32.0
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_062478888.1,Intertidal sediment / beach sand▲,South Korea: Asan bay tidal flat | depth: 1 meter,36.95428158,126.81518554
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_475148261.1,Surface seawater●,"GCF_059429535.1: USA: Isle of Palms, South Carolina | GCF_056160525.1: USA: Atlantic ocean at Key West, Florida",24.55,-81.78
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_226766338.1,Surface seawater●,GCF_039523055.1: South Korea | GCF_020531985.1: South Korea: the East Sea | depth: 1m,38.47,128.43
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_194298376.1,Surface seawater●,China: South China Sea | depth: 3850 m,18.0,116.0
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_134052912.1,Polar sea ice / cryosphere◆,GCF_964013185.1: depth: 5 | GCF_977272165.1: depth: 5 | GCF_977291755.1: depth: 5 | GCF_047636455.1: Arctic Ocean | GCF_004369005.1: Pacific Ocean,-8.9111,-142.5571
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_134052912.1,Polar sea ice / cryosphere◆,GCF_964013185.1: depth: 5 | GCF_977272165.1: depth: 5 | GCF_977291755.1: depth: 5 | GCF_047636455.1: Arctic Ocean | GCF_004369005.1: Pacific Ocean,79.7913,1.7609
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_415186404.1,Polar sea ice / cryosphere◆,Arctic Ocean,79.7913,1.7609
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_218355362.1,Deep seawater▼,Pacific Ocean | depth: 3660m,-27.74,-117.62
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_475263346.1,Surface seawater●,"USA: Atlantic ocean at Key West, Florida",24.55,-81.78
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_232359458.1,Surface seawater●,"China: Meishan island,ningbo | depth: 0.1 m",29.47,121.58
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_303473067.1,Intertidal sediment / beach sand▲,"USA:Canoe Beach, Nahant, MA | depth: 0",42.42,-70.907
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_299599601.1,Marine host-associated⬡,China | depth: 0,37.562,122.121
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_353370548.1,Plastisphere / marine biofilm✕,"Japan:Shimane, Oki, Sea of Japan | depth: 13",36.178,133.277
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_303500066.1,Intertidal sediment / beach sand▲,"GCF_030548145.1: USA:Canoe Beach, Nahant, MA | depth: 0 | GCF_030549285.1: USA:Canoe Beach, Nahant, MA | depth: 0",42.42,-70.907
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_218312562.1,Marine host-associated⬡,Spain: Mediterranean Sea,38.35,1.67
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_108566897.1,Deep-sea / chemosynthetic sediment⬟,Pacific Ocean: New Britain Trench | depth: 4700 m,-6.1,153.0
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_216049299.1,Intertidal sediment / beach sand▲,"USA:Massachusetts, Nahant, Canoe Beach | USA: Massachusetts, Nahant, Canoe Beach | depth: 0-2 m",42.25,-70.54
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_342806235.1,Surface seawater●,Pacific Ocean: Mariana Trench | depth: 2500 m,11.2,142.11
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_489728994.1,Intertidal sediment / beach sand▲,Antarctica: King George Island | depth: 0m,-62.209722,-58.945
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_339720544.1,Surface seawater●,depth: 441,74.305,-85.6552
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_077405297.1,Marine host-associated⬡,South Korea | depth: 1m,33.165,126.272
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_318967992.1,Intertidal sediment / beach sand▲,GCF_033721375.1: China: tidal flats of Hainan Island | China: Hainan | depth: 0 m | GCF_057457455.1: China: Hainan,19.86,109.23
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_318967992.1,Intertidal sediment / beach sand▲,GCF_033721375.1: China: tidal flats of Hainan Island | China: Hainan | depth: 0 m | GCF_057457455.1: China: Hainan,19.8567,109.2317
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_318967992.1,Intertidal sediment / beach sand▲,GCF_033721375.1: China: tidal flats of Hainan Island | China: Hainan | depth: 0 m | GCF_057457455.1: China: Hainan,19.856667,109.231667
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_487122015.1,Plastisphere / marine biofilm✕,"Japan:Hiroshima, Onomichi, Seto Inland Sea | depth: 2.8",34.365,133.217
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_372626301.1,Surface seawater●,China: ZhouShan,29.928,122.422
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_412725544.1,Surface seawater●,"Japan:Shizuoka, Suruga Bay",34.51,138.21
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_262992133.1,Surface seawater●,China: Aoshan bay | depth: 10cm,36.36,120.7
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_490711645.1,Surface seawater●,depth: 150,-8.9109,-140.2845
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_246604452.1,Marine host-associated⬡,Spain: Mediterranean Sea,38.99,2.65
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_258544420.1,Marine host-associated⬡,Spain: Mediterranean Sea,38.99,2.65
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_105936495.1,Surface seawater●,Pacific Ocean: Western Pacific | depth: 0 m,5.0,130.0
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_487964638.1,Plastisphere / marine biofilm✕,"USA | USA: Atlantic Ocean off North Carolina Coast (GAZ,00051144)",36.9,-75.93
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_488801699.1,Plastisphere / marine biofilm✕,"USA | USA: Chesapeake Bay (GAZ,00002604)",38.58,-76.42
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_488798885.1,Plastisphere / marine biofilm✕,GCF_982772495.1: Atlantic Ocean | Atlantic Ocean: Sargasso Sea (GAZ:00002454) | GCF_982774915.1: Atlantic Ocean | Atlantic Ocean: Sargasso Sea (GAZ:00002454) | GCF_982777655.1: Atlantic Ocean | Atlantic Ocean: Sargasso Sea (GAZ:00002454) | GCF_982777835.1: Atlantic Ocean | Atlantic Ocean: Sargasso Sea (GAZ:00002454),25.86,-68.99
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_488798885.1,Plastisphere / marine biofilm✕,GCF_982772495.1: Atlantic Ocean | Atlantic Ocean: Sargasso Sea (GAZ:00002454) | GCF_982774915.1: Atlantic Ocean | Atlantic Ocean: Sargasso Sea (GAZ:00002454) | GCF_982777655.1: Atlantic Ocean | Atlantic Ocean: Sargasso Sea (GAZ:00002454) | GCF_982777835.1: Atlantic Ocean | Atlantic Ocean: Sargasso Sea (GAZ:00002454),22.56,-63.73
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_488798885.1,Plastisphere / marine biofilm✕,GCF_982772495.1: Atlantic Ocean | Atlantic Ocean: Sargasso Sea (GAZ:00002454) | GCF_982774915.1: Atlantic Ocean | Atlantic Ocean: Sargasso Sea (GAZ:00002454) | GCF_982777655.1: Atlantic Ocean | Atlantic Ocean: Sargasso Sea (GAZ:00002454) | GCF_982777835.1: Atlantic Ocean | Atlantic Ocean: Sargasso Sea (GAZ:00002454),24.43,-65.55
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_475070608.1,Surface seawater●,"USA: Atlantic ocean at Key West, Florida",24.55,-81.78
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_255052969.1,Marine host-associated⬡,"USA: FL, Looe Key",24.56,-81.4
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_464370279.1,Plastisphere / marine biofilm✕,"Japan:Hiroshima, Onomichi, Seto Inland Sea | depth: 7.7m",34.365,133.217
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_214739526.1,Mangrove sediment✚,China: Weizhou Island,21.03,109.12
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_499824088.1,Marine host-associated⬡,Viet Nam: Quang Ngai,15.12,108.8
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_214747832.1,Mangrove sediment✚,China: Beigang island,21.58,109.1
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_372779777.1,Intertidal sediment / beach sand▲,China: ZhouShan,29.928,122.422
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_486772909.1,Intertidal sediment / beach sand▲,China: Guangdong,23.2833,116.773
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_290592511.1,Deep seawater▼,Pacific Ocean: South China Sea; depth 700 m,19.909,115.243
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_372748028.1,Intertidal sediment / beach sand▲,China: ZhouShan,29.928,122.422
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_042205621.1,Marine sediment■,Black Sea (reported in exact-strain BioSample comment),43.0,34.0
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_108437753.1,Marine host-associated⬡,Japan; depth 0 m,35.5246,134.085
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_290579410.1,Deep seawater▼,Pacific Ocean: South China Sea; depth 700 m,19.909,115.243
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_189478192.1,Deep seawater▼,"Pacific Ocean: North Pacific Gyre, Station ALOHA; depth 4000m",22.75,-158.0
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_222463053.1,Marine sediment■,China:Shenzhen; depth 11.7,22.59,114.552
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_303983512.1,Plastisphere / marine biofilm✕,"Australia: Great Barrier Reef, Magnetic Island, Geoffrey Bay",-19.9326,146.519
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_291017879.1,Deep-sea / chemosynthetic sediment⬟,India: Gulf of Khambhat; depth 1-100 cm,21.5,72.5
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_279243352.1,Intertidal / coastal seawater★,South Korea; depth 10 m,38.23,128.69
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_312748170.1,Intertidal / coastal seawater★,Denmark: Slettestrand,57.1573,9.36542
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_068153195.1,Surface seawater●,Pacific Ocean: Western Pacific Ocean; depth 0 m,0.0,160.0
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_486329016.1,Plastisphere / marine biofilm✕,Malaysia:Bayan Lepas,5.3302,100.309
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_490404818.1,Surface seawater●,"Tara Oceans station TARA_131; 22.7901 N, 157.9439 W; depth 106–115 m (nominal 110 m)",22.7901,-157.9439
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_422848402.1,Intertidal / coastal seawater★,China:Xaimen; depth 0.5m,24.4743,118.045
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_281647015.1,Marine host-associated⬡,Portugal; depth 20,36.979778,-7.989111
Glutathione peroxidase (WP_003945816.1),#42d4f4,WP_070379564.1,Marine host-associated⬡,USA: Florida Keys,24.55,-81.78
Glutathione peroxidase (WP_003945816.1),#42d4f4,WP_127945803.1,Marine host-associated⬡,Marine sponge; China: Xisha,16.75,112.35
Glutathione peroxidase (WP_003945816.1),#42d4f4,WP_127955491.1,Marine host-associated⬡,"Marine sponge, 20 m depth; China: Xisha",16.75,112.35
Glutathione peroxidase (WP_003945816.1),#42d4f4,WP_050066444.1,Marine sediment■,Estuary sediments; Portugal,41.139783,-8.664167
Glutathione peroxidase (WP_003945816.1),#42d4f4,WP_269417429.1,Marine host-associated⬡,"Nematostella vectensis-associated culture in artificial seawater; Kiel, Germany",54.331849,10.144127
Glutathione peroxidase (WP_003945816.1),#42d4f4,WP_462665568.1,Intertidal / coastal seawater★,"Coastal seawater, 1 m depth; Puget Sound near Tacoma, Washington, USA",47.2768,-122.4649
Glutathione peroxidase (WP_003945816.1),#42d4f4,WP_374700635.1,Marine host-associated⬡,"Marine sponge (Sycon ciliatum), 2 m depth; Stromness, Orkney, United Kingdom",58.964659,-3.295147
Glutathione peroxidase (WP_003945816.1),#42d4f4,WP_374222415.1,Marine host-associated⬡,Marine sediment; Antarctica,-62.961333,-27.891833
Glutathione peroxidase (WP_003945816.1),#42d4f4,WP_422744644.1,Marine host-associated⬡,USA: Florida Keys,24.55,-81.78
Glutathione peroxidase (WP_003945816.1),#42d4f4,WP_079924327.1,Marine sediment■,"Coastal-ocean estuary sediment, 0–5 cm; Colne estuary, United Kingdom",51.81,0.979
Glutathione peroxidase (WP_003945816.1),#42d4f4,WP_142555396.1,Intertidal / coastal seawater★,"Estuary slurry; Colne estuary, Colchester, United Kingdom",51.63951,0.41053
Glutathione peroxidase (WP_003945816.1),#42d4f4,WP_124278333.1,Marine host-associated⬡,"Marine sponge reef biome, 60 m depth; Tautra underwater ridge at Trondheim Fjord, Norway",63.61472222,10.52277778
PHB depolymerase (AAB40611.1),#8E63CE,WP_133493510.1,Plastisphere / marine biofilm✕,Chile: Antofagasta; local setting: Intertidal zone_La_Rinconada_[PMD],-23.463658,-70.504668
PHB depolymerase (AAB40611.1),#8E63CE,WP_317009323.1,Deep-sea / chemosynthetic sediment⬟,Mexico: Gulf of Mexico; local setting: marine sublitteral zone; depth: 307 m,19.5,-96.0
PHB depolymerase (AAB40611.1),#8E63CE,WP_474365385.1,Surface seawater●,Mediterranean Sea,38.55,13.18
PHB depolymerase (AAB40611.1),#8E63CE,WP_316308580.1,Surface seawater●,"China: Xiamen, Ocean; depth: 0",39.54,116.26
PHB depolymerase (AAB40611.1),#8E63CE,WP_474359680.1,Surface seawater●,Mediterranean Sea,39.48,7.24
PHB depolymerase (AAB40611.1),#8E63CE,WP_423885108.1,Intertidal / coastal seawater★,China: Dapeng Bay; local setting: coastal sea water [ENVO_00002150]; depth: 0.1,22.5675,114.4555
PHB depolymerase (AAB40611.1),#8E63CE,WP_485164795.1,Deep seawater▼,USA:Guaymas Basin,27.51583333,-111.425
PHB depolymerase (AAB40611.1),#8E63CE,WP_228233368.1,Surface seawater●,"Mexico: Gulf of California, Sonora Margin; local setting: marine pelagic biome [ENVO_01000023]; depth: 1903",27.27,-111.44
PHB depolymerase (AAB40611.1),#8E63CE,WP_473780318.1,Surface seawater●,Atlantic Ocean,10.847,-65.114
PHB depolymerase (AAB40611.1),#8E63CE,WP_204431675.1,Surface seawater●,India: Arabian Sea; local setting: Intertidal zone; depth: 15cm,18.921836,72.834705
PHB depolymerase (AAB40611.1),#8E63CE,WP_410308002.1,Plastisphere / marine biofilm✕,China: Hangzhou city; local setting: Intertidal zone; depth: 0,29.949,122.091
PHB depolymerase (AAB40611.1),#8E63CE,WP_423934416.1,Intertidal / coastal seawater★,China: Dapeng Bay; local setting: coastal sea water [ENVO_00002150]; depth: 0.1,22.5675,114.4555
PHB depolymerase (AAB40611.1),#8E63CE,WP_473785057.1,Deep seawater▼,Pacific Ocean,11.34,142.33
PHB depolymerase (AAB40611.1),#8E63CE,WP_474367516.1,Surface seawater●,Pacific Ocean,11.34,142.33
PHB depolymerase (AAB40611.1),#8E63CE,WP_473781655.1,Surface seawater●,Pacific Ocean,-13.003,-80.809
PHB depolymerase (AAB40611.1),#8E63CE,WP_410298276.1,Plastisphere / marine biofilm✕,China: Hangzhou city; local setting: Intertidal zone; depth: 0,29.949,122.091
PHB depolymerase (AAB40611.1),#8E63CE,WP_475647339.1,Surface seawater●,Pacific Ocean,-16.21,-76.63
PHB depolymerase (AAB40611.1),#8E63CE,WP_475364427.1,Deep seawater▼,Pacific Ocean,11.34,142.33
PHB depolymerase (AAB40611.1),#8E63CE,WP_474234444.1,Surface seawater●,USA,36.25,-122.2099
PHB depolymerase (AAB40611.1),#8E63CE,WP_194298376.1,Surface seawater●,China: South China Sea; depth: 3850 m,18.0,116.0
PHB depolymerase (AAB40611.1),#8E63CE,WP_062478888.1,Intertidal sediment / beach sand▲,South Korea: Asan bay tidal flat; depth: 1 meter,36.95428158,126.81518554
PHB depolymerase (AAB40611.1),#8E63CE,WP_406827977.1,Surface seawater●,Viet Nam; local setting: shoreline,17.488568,106.628368
PHB depolymerase (AAB40611.1),#8E63CE,WP_414828916.1,Deep-sea / chemosynthetic sediment⬟,Pacific Ocean; depth: 3200m,3.0,142.5
PHB depolymerase (AAB40611.1),#8E63CE,WP_218355362.1,Deep seawater▼,Pacific Ocean; local setting: Deep seawater; depth: 3660m,-27.74,-117.62
PHB depolymerase (AAB40611.1),#8E63CE,WP_464948910.1,Marine host-associated⬡,"Canada: Fanny Bay, Vancouver Island, British Columbia; local setting: shoreline",49.5078,-124.8272709
PHB depolymerase (AAB40611.1),#8E63CE,WP_417358013.1,Plastisphere / marine biofilm✕,China: Qingdao; local setting: Enrichment culture biofilms; depth: 1,36.04,120.26
PHB depolymerase (AAB40611.1),#8E63CE,WP_487122015.1,Plastisphere / marine biofilm✕,"Japan:Hiroshima, Onomichi, Seto Inland Sea; local setting: shoreline [ENVO:00000486]; depth: 2.8",34.365,133.217
PHB depolymerase (AAB40611.1),#8E63CE,WP_353370548.1,Plastisphere / marine biofilm✕,"Japan:Shimane, Oki, Sea of Japan; local setting: shoreline [ENVO:00000486]; depth: 13",36.178,133.277
PHB depolymerase (AAB40611.1),#8E63CE,WP_417359899.1,Plastisphere / marine biofilm✕,China: Qingdao; local setting: Enrichment culture biofilms; depth: 1,36.04,120.26
PHB depolymerase (AAB40611.1),#8E63CE,WP_218312562.1,Marine host-associated⬡,Spain: Mediterranean Sea; local setting: Seawater,38.35,1.67
PHB depolymerase (AAB40611.1),#8E63CE,WP_050660496.1,Surface seawater●,Pacific Ocean:South China Sea; local setting: offshore; depth: 5m,16.62,116.72
PHB depolymerase (AAB40611.1),#8E63CE,WP_346839204.1,Mangrove sediment✚,India: Goa; local setting: Sediment; depth: 1m,15.513,73.8704
PHB depolymerase (AAB40611.1),#8E63CE,WP_303473067.1,Intertidal / coastal seawater★,"USA:Canoe Beach, Nahant, MA; local setting: ENVO:01000687; depth: 0",42.42,-70.907
PHB depolymerase (AAB40611.1),#8E63CE,WP_303500066.1,Intertidal / coastal seawater★,"USA:Canoe Beach, Nahant, MA; local setting: ENVO:01000687; depth: 0",42.42,-70.907
PHB depolymerase (AAB40611.1),#8E63CE,WP_246604452.1,Marine host-associated⬡,Spain: Mediterranean Sea; local setting: Seawater,38.99,2.65
PHB depolymerase (AAB40611.1),#8E63CE,WP_216049299.1,Plastisphere / marine biofilm✕,"USA:Massachusetts, Nahant, Canoe Beach; local setting: intertidal zone [ENVO:00000316]; depth: 0-2 m",42.25,-70.54
PHB depolymerase (AAB40611.1),#8E63CE,WP_342806235.1,Surface seawater●,Pacific Ocean: Mariana Trench; local setting: Ocean (ENVO: 00000015); depth: 2500 m,11.2,142.11
PHB depolymerase (AAB40611.1),#8E63CE,WP_105936495.1,Surface seawater●,Pacific Ocean: Western Pacific; local setting: sea; depth: 0 m,5.0,130.0
PHB depolymerase (AAB40611.1),#8E63CE,WP_258544420.1,Marine host-associated⬡,Spain: Mediterranean Sea; local setting: Seawater,38.99,2.65
PHB depolymerase (AAB40611.1),#8E63CE,WP_232359458.1,Surface seawater●,"China: Meishan island,ningbo; local setting: intertidal zone; depth: 0.1 m",29.47,121.58
PHB depolymerase (AAB40611.1),#8E63CE,WP_412725544.1,Surface seawater●,"Japan:Shizuoka, Suruga Bay",34.51,138.21
PHB depolymerase (AAB40611.1),#8E63CE,WP_370240786.1,Intertidal / coastal seawater★,China: East China Sea; local setting: shoreline [ENVO:00000486]; depth: -40m,30.1282,122.74599
PHB depolymerase (AAB40611.1),#8E63CE,WP_490711645.1,Surface seawater●,missing: third party data,-8.9109,-140.2845
PHB depolymerase (AAB40611.1),#8E63CE,WP_108566897.1,Deep-sea / chemosynthetic sediment⬟,Pacific Ocean: New Britain Trench; local setting: ocean trench ENVO:00000275; depth: 4700 m,-6.1,153.0
PHB depolymerase (AAB40611.1),#8E63CE,WP_370164851.1,Intertidal / coastal seawater★,China: East China Sea; local setting: shoreline [ENVO:00000486]; depth: -40m,30.1282,122.74599
PHB depolymerase (AAB40611.1),#8E63CE,WP_488798885.1,Plastisphere / marine biofilm✕,Atlantic Ocean,25.86,-68.99
PHB depolymerase (AAB40611.1),#8E63CE,WP_262992133.1,Surface seawater●,China: Aoshan bay; local setting: Offshore; depth: 10cm,36.36,120.7
PHB depolymerase (AAB40611.1),#8E63CE,WP_255052969.1,Marine host-associated⬡,"USA: FL, Looe Key; local setting: offshore reef",24.56,-81.4
PHB depolymerase (AAB40611.1),#8E63CE,WP_489728994.1,Intertidal sediment / beach sand▲,Antarctica: King George Island; local setting: intertidal zone [ENVO:00000316]; depth: 0m,-62.209722,-58.945
PHB depolymerase (AAB40611.1),#8E63CE,WP_339720544.1,Surface seawater●,Not reported,74.305,-85.6552
PHB depolymerase (AAB40611.1),#8E63CE,WP_226766338.1,Surface seawater●,South Korea: the East Sea; depth: 1m,38.47,128.43
PHB depolymerase (AAB40611.1),#8E63CE,WP_273024228.1,Surface seawater●,Atlantic Ocean; local setting: marine; depth: 100 m,40.0,-32.0
PHB depolymerase (AAB40611.1),#8E63CE,WP_134052912.1,Polar sea ice / cryosphere◆,Arctic Ocean; local setting: sea ice,79.7913,1.7609
PHB depolymerase (AAB40611.1),#8E63CE,WP_415186404.1,Polar sea ice / cryosphere◆,Arctic Ocean; local setting: sea ice,79.7913,1.7609
PHB depolymerase (AAB40611.1),#8E63CE,WP_488096027.1,Marine sediment■,Kuwait,29.390016,47.98736
PHB depolymerase (AAB40611.1),#8E63CE,WP_372626301.1,Intertidal sediment / beach sand▲,China: ZhouShan; local setting: Intertidal zone,29.928,122.422
PHB depolymerase (AAB40611.1),#8E63CE,WP_260548447.1,Surface seawater●,Saudi Arabia: Red Sea; depth: 1000,18.97,39.54
PHB depolymerase (AAB40611.1),#8E63CE,WP_464370279.1,Plastisphere / marine biofilm✕,"Japan:Hiroshima, Onomichi, Seto Inland Sea; local setting: shoreline [ENVO:00000486]; depth: 7.7m",34.365,133.217
PHB depolymerase (AAB40611.1),#8E63CE,WP_219932609.1,Mangrove sediment✚,China: Wenzhou; local setting: intertidal zone; depth: 0 m,27.5,120.3
PHB depolymerase (AAB40611.1),#8E63CE,WP_295799054.1,Surface seawater●,Puerto Rico; local setting: marine,17.967318,-67.01883
PHB depolymerase (AAB40611.1),#8E63CE,WP_105173614.1,Mangrove sediment✚,"China: Zhejiang Province, Ximen Island",28.33,121.18
PHB depolymerase (AAB40611.1),#8E63CE,WP_212746797.1,Marine host-associated⬡,Atlantic Ocean: North Atlantic,24.9963,-67.0246
PHB depolymerase (AAB40611.1),#8E63CE,WP_253039232.1,Marine host-associated⬡,"Virgin Islands: St. Thomas, Hull Bay; local setting: offshore reef",18.37436,-64.9549
PHB depolymerase (AAB40611.1),#8E63CE,WP_348714410.1,Surface seawater●,Not reported,-20.4075,-3.1641
PHB depolymerase (AAB40611.1),#8E63CE,WP_462182065.1,Marine host-associated⬡,Colombia:Buenaventura; local setting: ENVO:00000316|ENVO:00010672,3.873662,-77.290647
PHB depolymerase (AAB40611.1),#8E63CE,WP_239963837.1,Marine host-associated⬡,"Australia: NSW, Port Stephens",-32.7171,152.1049
PHB depolymerase (AAB40611.1),#8E63CE,WP_294089584.1,Surface seawater●,Not reported; local setting: marine,-34.0614,-73.1066
PHB depolymerase (AAB40611.1),#8E63CE,WP_138557790.1,Marine host-associated⬡,Taiwan,23.2469494,119.6679559
PHB depolymerase (AAB40611.1),#8E63CE,WP_286260681.1,Marine host-associated⬡,Japan:Hakodate; local setting: egg,42.12574,139.99966
PHB depolymerase (AAB40611.1),#8E63CE,WP_205994337.1,Surface seawater●,Japan: Kagoshima; local setting: marine; depth: 0-5cm,30.19,130.1
PHB depolymerase (AAB40611.1),#8E63CE,WP_370317305.1,Intertidal / coastal seawater★,China: East China Sea; local setting: shoreline [ENVO:00000486]; depth: -40m,30.1282,122.74599
PHB depolymerase (AAB40611.1),#8E63CE,WP_082873985.1,Surface seawater●,China: South China Sea; local setting: surface water; depth: 0,19.0,119.0
PHB depolymerase (AAB40611.1),#8E63CE,WP_130052775.1,Marine host-associated⬡,"Australia: NSW, Port Stephens",-32.7171,152.1049
PHB depolymerase (AAB40611.1),#8E63CE,WP_490386461.1,Surface seawater●,missing: third party data,22.7546,-158.0067
PHB depolymerase (AAB40611.1),#8E63CE,WP_462147847.1,Marine host-associated⬡,Colombia:Buenaventura; local setting: ENVO:00000316|ENVO:00010672,3.873662,-77.290647
PHB depolymerase (AAB40611.1),#8E63CE,WP_349274157.1,Marine host-associated⬡,Belize: Carrie Bow Cay; local setting: offshore reef,16.79,-88.07
PHB depolymerase (AAB40611.1),#8E63CE,WP_253048777.1,Marine host-associated⬡,"USA: FL, Ft. Lauderdale; local setting: offshore reef",26.16,-80.1
PHB depolymerase (AAB40611.1),#8E63CE,WP_332393413.1,Surface seawater●,Mexico: zone between Perdido belt and Coatzacoalcos; local setting: area: Perdido belt and Coatzacoalcos; depth: 1000 m,20.31,-94.13
PHB depolymerase (AAB40611.1),#8E63CE,WP_342409634.1,Surface seawater●,Mexico: zone between Perdido belt and Coatzacoalcos; local setting: area: lost belt and Coatzacoalcos; depth: 1000 m,20.31,-94.13
PHB depolymerase (AAB40611.1),#8E63CE,WP_487986883.1,Surface seawater●,Pacific Ocean,26.196,-158.156
PHB depolymerase (AAB40611.1),#8E63CE,WP_462175783.1,Marine host-associated⬡,Colombia:Buenaventura; local setting: ENVO:00000316|ENVO:00010672,3.873662,-77.290647
PHB depolymerase (AAB40611.1),#8E63CE,WP_285220986.1,Surface seawater●,"Brazil: Buzios, Rio de Janeiro; local setting: Seawater",-22.74,-41.88
PHB depolymerase (AAB40611.1),#8E63CE,WP_474704773.1,Deep seawater▼,Pacific Ocean,22.75,-158.0
PHB depolymerase (AAB40611.1),#8E63CE,WP_062565773.1,Deep-sea / chemosynthetic sediment⬟,Pacific Ocean: Shioyasaki offshore; depth: 2100 m,37.12,142.42
PHB depolymerase (AAB40611.1),#8E63CE,WP_138686283.1,Plastisphere / marine biofilm✕,Indian Ocean,-35.3413,79.9641
